[39] TransverseEnergy
Centrality hNpart error hNqp error dET/dη[GeV] error (dET /dη)/(0.5Npart)[GeV] error (dET /dη)/(0.5Nqp)[GeV] erro
0%–5%       340.0 ±     7.4     874.6 ±     42.0    303.8 ±     18.2    1.79 ±  0.11    0.69 ±  0.05
5%–10%      289.6 ±     8.1     726.7 ±     36.7    262.1 ±     15.7    1.81 ±  0.12    0.72 ±  0.06
10%–15%     244.1 ±     6.4     599.1 ±     26.8    216.6 ±     13.0    1.77 ±  0.12    0.72 ±  0.05
15%–20%     206.5 ±     6.3     496.9 ±     23.7    178.5 ±     10.7    1.73 ±  0.12    0.72 ±  0.06
20%–25%     174.1 ±     6.3     410.4 ±     20.9    146.9 ±     8.8     1.69 ±  0.12    0.72 ±  0.06
25%–30%     145.8 ±     6.2     336.8 ±     22.2    120.4 ±     7.2     1.65 ±  0.12    0.72 ±  0.06
30%–35%     120.8 ±     7.5     273.0 ±     18.1    97.7 ±      5.8     1.62 ±  0.14    0.72 ±  0.06
35%–40%     98.6 ±      6.4     217.6 ±     15.1    78.5 ±      4.7     1.59 ±  0.14    0.72 ±  0.07
40%–45%     79.8 ±      6.0     172.0 ±     14.1    62.3 ±      3.7     1.56 ±  0.15    0.72 ±  0.07
45%–50%     63.9 ±      5.8     134.3 ±     13.1    48.6 ±      2.9     1.52 ±  0.17    0.72 ±  0.08
50%–55%     50.3 ±      5.5     103.1 ±     13.5    37.3 ±      2.2     1.48 ±  0.18    0.72 ±  0.10
----------------------------------------------------------------------------------------------------
[39] Multiplicity 
Centrality hNpart error hNqp error dNch/dη error (dNch/dη)/(0.5Npart) error (dNch/dη)/(0.5Nqp) error
0%–5%       340.0 ±     7.4     874.6 ±     42.0    363.2 ±     31.6    2.14 ±  0.19    0.83 ±  0.08
5%–10%      289.6 ±     8.1     726.7 ±     36.7    297.8 ±     25.8    2.06 ±  0.19    0.82 ±  0.08
10%–15%     244.1 ±     6.4     599.1 ±     26.8    246.6 ±     21.3    2.02 ±  0.18    0.82 ±  0.08
15%–20%     206.5 ±     6.3     496.9 ±     23.7    204.4 ±     17.5    1.98 ±  0.18    0.82 ±  0.08
20%–25%     174.1 ±     6.3     410.4 ±     20.9    168.9 ±     14.4    1.94 ±  0.18    0.82 ±  0.08
25%–30%     145.8 ±     6.2     336.8 ±     22.2    138.3 ±     11.8    1.90 ±  0.18    0.82 ±  0.09
30%–35%     120.8 ±     7.5     273.0 ±     18.1    112.6 ±     9.6     1.86 ±  0.20    0.83 ±  0.09
35%–40%     98.6 ±      6.4     217.6 ±     15.1    90.6 ±      7.7     1.84 ±  0.20    0.83 ±  0.09
40%–45%     79.8 ±      6.0     172.0 ±     14.1    72.1 ±      6.1     1.81 ±  0.20    0.84 ±  0.10
45%–50%     63.9 ±      5.8     134.3 ±     13.1    56.8 ±      4.8     1.78 ±  0.22    0.85 ±  0.11
50%–55%     50.3 ±      5.5     103.1 ±     13.5    43.7 ±      3.7     1.73 ±  0.24    0.85 ±  0.13
----------------------------------------------------------------------------------------------------
[27] TransverseEnergy
Centrality hNpart error hNqp error dET/dη[GeV] error (dET/dη)/(0.5Npart)[GeV] error (dET/dη)/(0.5Nqp)[GeV] error
0%–5%       338.9 ±     3.1     863.7 ±     23.5    265.6 ±     16.4    1.57 ±  0.10    0.62 ±  0.04
5%–10%      288.8 ±     4.7     718.8 ±     22.7    217.3 ±     13.4    1.50 ±  0.10    0.61 ±  0.04
10%–15%     244.3 ±     6.5     595.0 ±     23.7    179.7 ±     11.1    1.47 ±  0.10    0.60 ±  0.04
15%–20%     205.7 ±     5.8     490.7 ±     19.4    148.9 ±     9.2     1.45 ±  0.10    0.61 ±  0.04
