CollEn	particle	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr
7.7	pi-	0.13957	0.76945	0.0289299	0.077771	0.00709861	4.05539	0.618016	22243.6	9061.18	7.11245	0.467489	3.35204	0.771117	0.00842914	0.0321029	10.4729	1.27071	7.52458	0.494595	4.81748	1.28862	0.00844766	0.0321734	12.3505	1.81539	15.5649	1.02132	15.5975	1.59639	0.00397995	0.0321029	31.1663	2.64981	16.6508	1.09292	15.5975	1.59639	0.00397995	0.000351085	32.2523	2.68966
7.7	pi-	0.13957	0.785691	0.0379844	0.0716691	0.00849676	3.56999	0.476283	25940	14022.6	5.75583	0.378229	2.9181	1.13483	0.00564047	0.0350765	8.67957	1.54814	6.09249	0.400374	4.21813	1.99223	0.00565295	0.0351541	10.3163	2.42775	12.6579	0.830539	13.6366	1.67591	0.00267331	0.0350765	26.2972	2.54152	13.5476	0.889215	13.6366	1.67591	0.00267331	0.000219956	27.1869	2.56534
7.7	pi-	0.13957	0.763587	0.0244642	0.079974	0.00630409	4.4968	0.694638	12438.6	4393.23	4.42008	0.290209	2.07122	0.256676	0.00535617	0.011714	6.49665	0.5586	4.67757	0.307139	2.97219	0.42319	0.00536791	0.0117397	7.65513	0.742069	9.70207	0.636209	9.62693	0.915334	0.00252578	0.011714	19.3315	1.56326	10.3815	0.680999	9.62693	0.915334	0.00252578	0.000224405	20.011	1.59656
7.7	pi-	0.13957	0.758273	0.0264545	0.0787088	0.00648556	4.35859	0.679468	9208.07	3411.24	3.00874	0.197737	1.4537	0.168266	0.00304386	0.00630775	4.46548	0.372311	3.18573	0.209381	2.08882	0.280178	0.00305057	0.00632164	5.2776	0.495881	6.64206	0.43592	6.76353	0.660217	0.00143938	0.00630775	13.407	1.10244	7.11009	0.466789	6.76353	0.660217	0.00143938	0.000129774	13.8751	1.12714
7.7	pi-	0.13957	0.751893	0.0324125	0.0764085	0.00723316	3.9281	0.618634	6984.43	2970.63	1.99135	0.130794	0.993924	0.134364	0.00155776	0.00371307	2.98683	0.268871	2.10952	0.138568	1.43099	0.22791	0.00156122	0.00372131	3.54208	0.370199	4.41911	0.289956	4.63117	0.485433	0.000739711	0.00371307	9.05101	0.779103	4.73219	0.310608	4.63117	0.485433	0.000739711	6.6681e-05	9.3641	0.796108
7.7	pi-	0.13957	0.747829	0.0347165	0.0744585	0.00780778	3.97562	0.741569	5140.32	2436.48	1.2571	0.082797	0.670633	0.0788326	0.00190308	0.00417289	1.92964	0.165803	1.33333	0.087821	0.96814	0.13633	0.00190829	0.00418429	2.30337	0.228335	2.82438	0.185793	3.13121	0.350757	0.00100201	0.00417289	5.9566	0.540723	3.02737	0.199201	3.13121	0.350757	0.00100201	9.80993e-05	6.15959	0.550056
7.7	pi-	0.13957	0.724869	0.0375004	0.0753834	0.0087954	4.11135	1.06187	3078.9	1611.22	0.768231	0.0505895	0.421792	0.0367647	0.00140003	0.00248218	1.19142	0.0898364	0.815834	0.0537292	0.608748	0.063467	0.00140434	0.00248981	1.42599	0.119686	1.74739	0.114985	1.96906	0.237045	0.000781199	0.00248218	3.71723	0.354512	1.87486	0.123411	1.96906	0.237045	0.000781199	9.29342e-05	3.8447	0.36055
7.7	pi-	0.13957	0.66906	0.0456849	0.0791742	0.0107344	3.74679	1.54496	1348.68	789.375	0.417839	0.0276501	0.219432	0.0149006	0.000525077	0.000772828	0.637795	0.0433236	0.443781	0.0293647	0.315421	0.025205	0.00052671	0.000775228	0.759729	0.055345	0.952909	0.0628998	1.02128	0.127704	0.000294762	0.000772828	1.97448	0.191376	1.02227	0.0674926	1.02128	0.127704	0.000294762	4.53422e-05	2.04384	0.195242
7.7	pi-	0.13957	0.668774	0.0443129	0.0879565	0.00694178	8.08992	5.70381	445.778	153	0.206294	0.0138934	0.10453	0.000222101	0.000746111	0.000111252	0.31157	0.0142268	0.219293	0.0147601	0.149356	0.000235215	0.000749011	0.000111668	0.369398	0.015107	0.474856	0.031729	0.484345	0.0453375	0.000467119	0.000111252	0.959668	0.0771778	0.509695	0.0340528	0.484345	0.0453375	0.000467119	0.000108563	0.994507	0.0794988
7.7	pi+	0.13957	0.761639	0.0316787	0.0803364	0.00781478	3.73191	0.633913	17539.5	7389.38	6.77295	0.444925	2.93339	0.741898	0.00920376	0.0358177	9.71554	1.22264	7.15589	0.470095	4.20116	1.21813	0.00922394	0.0358962	11.3663	1.72412	14.627	0.959035	13.6127	1.37511	0.00433991	0.0358177	28.2441	2.36997	15.6291	1.02508	13.6127	1.37511	0.00433991	0.000391042	29.2462	2.40058
