CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
7.7	pi-	0	0.13957	0.76945	0.0289299	0.077771	0.00709861	4.05539	0.618016	22243.6	9061.18	22.5213	1.49695	3.35204	0.327293	0.00842914	0.000763259	25.8818	1.82501	23.5057	1.56155	4.81748	0.50052	0.00844766	0.000764856	28.3316	2.06284	42.2915	2.77971	15.5975	1.59639	0.00397995	0.000763259	57.893	4.37686	44.6888	2.93732	15.5975	1.59639	0.00397995	0.000351085	60.2903	4.53406	337	2
7.7	pi-	1	0.13957	0.785691	0.0379844	0.0716691	0.00849676	3.56999	0.476283	25940	14022.6	18.1055	1.20282	2.9181	0.340023	0.00564047	0.000474583	21.0293	1.54332	18.9062	1.25537	4.21813	0.527806	0.00565295	0.00047559	23.13	1.78365	34.2074	2.24778	13.6366	1.67591	0.00267331	0.000474583	47.8467	3.92416	36.1649	2.37648	13.6366	1.67591	0.00267331	0.000219956	49.8042	4.05261	290	6
7.7	pi-	2	0.13957	0.763587	0.0244642	0.079974	0.00630409	4.4968	0.694638	12438.6	4393.23	13.9334	0.924434	2.07122	0.188419	0.00535617	0.000489108	16.01	1.11334	14.547	0.96468	2.97219	0.28652	0.00536791	0.000490126	17.5246	1.25169	26.2747	1.72503	9.62693	0.915334	0.00252578	0.000489108	35.9041	2.64085	27.7722	1.82344	9.62693	0.915334	0.00252578	0.000224405	37.4016	2.739	226	8
7.7	pi-	3	0.13957	0.758273	0.0264545	0.0787088	0.00648556	4.35859	0.679468	9208.07	3411.24	9.3954	0.623893	1.4537	0.13563	0.00304386	0.000281595	10.8521	0.759804	9.81559	0.651474	2.08882	0.206835	0.00305057	0.000282187	11.9075	0.858591	17.8754	1.17475	6.76353	0.660217	0.00143938	0.000281595	24.6404	1.83525	18.9045	1.24242	6.76353	0.660217	0.00143938	0.000129774	25.6694	1.90277	160	10
7.7	pi-	4	0.13957	0.751893	0.0324125	0.0764085	0.00723316	3.9281	0.618634	6984.43	2970.63	6.16066	0.408607	0.993924	0.0993094	0.00155776	0.000143706	7.15614	0.50806	6.44027	0.426956	1.43099	0.152344	0.00156122	0.000144012	7.87282	0.579444	11.8251	0.776631	4.63117	0.485433	0.000739711	0.000143706	16.457	1.26221	12.512	0.821801	4.63117	0.485433	0.000739711	6.6681e-05	17.1439	1.3073	110	11
7.7	pi-	5	0.13957	0.747829	0.0347165	0.0744585	0.00780778	3.97562	0.741569	5140.32	2436.48	3.81043	0.253068	0.670633	0.0714397	0.00190308	0.000191779	4.48296	0.3247	3.98922	0.264831	0.96814	0.110282	0.00190829	0.000192276	4.95926	0.375305	7.45586	0.491059	3.13121	0.350757	0.00100201	0.000191779	10.5881	0.842007	7.8986	0.520229	3.13121	0.350757	0.00100201	9.80993e-05	11.0308	0.871084	72	10
7.7	pi-	6	0.13957	0.724869	0.0375004	0.0753834	0.0087954	4.11135	1.06187	3078.9	1611.22	2.28141	0.151342	0.421792	0.04824	0.00140003	0.00017223	2.7046	0.199754	2.39207	0.158625	0.608748	0.0745503	0.00140434	0.000172727	3.00223	0.233348	4.55066	0.299649	1.96906	0.237045	0.000781199	0.00017223	6.52051	0.536867	4.82694	0.317863	1.96906	0.237045	0.000781199	9.29342e-05	6.79678	0.555002	45	9
7.7	pi-	7	0.13957	0.66906	0.0456849	0.0791742	0.0107344	3.74679	1.54496	1348.68	789.375	1.23023	0.0823079	0.219432	0.026043	0.000525077	8.3466e-05	1.45019	0.108434	1.29058	0.0862917	0.315421	0.0401248	0.00052671	8.371e-05	1.60653	0.1265	2.47475	0.16378	1.02128	0.127704	0.000294762	8.3466e-05	3.49632	0.291567	2.62536	0.173731	1.02128	0.127704	0.000294762	4.53422e-05	3.64693	0.30148	26	7
7.7	pi-	8	0.13957	0.668774	0.0443129	0.0879565	0.00694178	8.08992	5.70381	445.778	153	0.59647	0.0409894	0.10453	0.00937518	0.000746111	0.000184217	0.701746	0.0505488	0.62655	0.0429992	0.149356	0.0141626	0.000749011	0.000184855	0.776655	0.0573466	1.22075	0.0822658	0.484345	0.0453375	0.000467119	0.000184217	1.70556	0.127787	1.29619	0.087295	0.484345	0.0453375	0.000467119	0.000108563	1.781	0.132741	14	4
7.7	pi+	0	0.13957	0.761639	0.0316787	0.0803364	0.00781478	3.73191	0.633913	17539.5	7389.38	21.8338	1.45167	2.93339	0.282672	0.00920376	0.000852429	24.7764	1.73519	22.7584	1.51229	4.20116	0.430675	0.00922394	0.000854204	26.9687	1.94382	40.326	2.64906	13.6127	1.37511	0.00433991	0.000852429	53.9431	4.02503	42.5557	2.79555	13.6127	1.37511	0.00433991	0.000391042	56.1728	4.17105	337	2
7.7	pi+	1	0.13957	0.764382	0.0259898	0.0813417	0.00689255	4.26581	0.713715	13807.8	5142.06	17.5196	1.16622	2.42262	0.224043	0.00778213	0.000754712	19.95	1.39101	18.2712	1.21552	3.4696	0.340244	0.00779913	0.000756274	21.7486	1.55653	32.5632	2.14058	11.243	1.0874	0.00366284	0.000754712	43.8098	3.22874	34.3842	2.26027	11.243	1.0874	0.00366284	0.000345184	45.6308	3.34802	290	6
7.7	pi+	2	0.13957	0.757058	0.0231703	0.0835925	0.00638986	4.5629	0.784985	9426.26	3161.47	13.3614	0.887262	1.8156	0.15864	0.00603518	0.000583379	15.183	1.04649	13.9354	0.924894	2.59571	0.239754	0.00604834	0.000584582	16.5372	1.16523	24.8651	1.63239	8.41481	0.767286	0.00283796	0.000583379	33.2828	2.40026	26.2556	1.72373	8.41481	0.767286	0.00283796	0.000266229	34.6733	2.49129	226	8
7.7	pi+	3	0.13957	0.751122	0.0259371	0.0817709	0.00664036	4.32418	0.740659	7154.6	2558.37	8.99786	0.597473	1.28162	0.115561	0.00333197	0.000319594	10.2828	0.713354	9.39107	0.623263	1.83535	0.175296	0.00333928	0.00032026	11.2298	0.798879	16.9107	1.11054	5.94751	0.560405	0.00157238	0.000319594	22.8598	1.67127	17.867	1.17339	5.94751	0.560405	0.00157238	0.000146699	23.8161	1.73394	160	10
7.7	pi+	4	0.13957	0.753479	0.0284844	0.078757	0.00681807	4.16122	0.674566	5670.36	2189.76	5.85209	0.388808	0.89568	0.0846561	0.00180433	0.000171075	6.74957	0.473635	6.1133	0.405952	1.28656	0.129173	0.00180832	0.000171435	7.40166	0.535296	11.127	0.731215	4.16612	0.412252	0.000854091	0.000171075	15.2939	1.14364	11.766	0.773236	4.16612	0.412252	0.000854091	7.8966e-05	15.9329	1.18557	110	11
7.7	pi+	5	0.13957	0.734705	0.0233173	0.0814306	0.00630213	4.93753	1.01344	3238.98	1122.4	3.61868	0.240512	0.578172	0.0523746	0.00145843	0.000165516	4.19831	0.293052	3.78585	0.251497	0.82935	0.0795219	0.00146199	0.000165897	4.61666	0.331185	7.01744	0.461668	2.68667	0.25416	0.000725401	0.000165516	9.70484	0.715993	7.42983	0.488816	2.68667	0.25416	0.000725401	7.98941e-05	10.1172	0.743055	72	10
7.7	pi+	6	0.13957	0.735996	0.0325534	0.0753506	0.00727371	4.23318	0.80355	2866.25	1259.92	2.15802	0.144154	0.391756	0.0406688	0.000586418	6.61291e-05	2.55037	0.184889	2.26117	0.150948	0.565411	0.0626038	0.000587868	6.62853e-05	2.82717	0.213618	4.26458	0.281501	1.82887	0.19928	0.000293742	6.61291e-05	6.09375	0.480847	4.52139	0.298437	1.82887	0.19928	0.000293742	3.23339e-05	6.35055	0.497749	45	9
7.7	pi+	7	0.13957	0.685968	0.0243822	0.0823512	0.00663975	4.85543	1.47076	1063	377.123	1.15747	0.077968	0.19832	0.0174908	0.000409965	6.09105e-05	1.3562	0.0955197	1.21345	0.0816678	0.284407	0.0265794	0.000411093	6.10688e-05	1.49827	0.108308	2.30857	0.153216	0.921423	0.084928	0.000216509	6.09105e-05	3.23021	0.238204	2.44783	0.162423	0.921423	0.084928	0.000216509	3.12102e-05	3.36947	0.247382	26	7
7.7	pi+	8	0.13957	0.630274	0.0313452	0.0845643	0.0101561	4.93951	3.83541	481.833	244.946	0.552756	0.0380403	0.0987833	0.0107234	0.000545093	0.000127742	0.652085	0.0488914	0.5806	0.0399032	0.141462	0.016405	0.000547255	0.000128202	0.722609	0.0564364	1.13104	0.0763419	0.45848	0.0523281	0.000345027	0.000127742	1.58986	0.128798	1.2008	0.0809982	0.45848	0.0523281	0.000345027	7.68589e-05	1.65963	0.133403	14	4
7.7	ka-	0	0.49368	0.696235	0.0175271	0.0891426	0.00859752	6.37627	2.15233	11936.7	8541.19	2.82187	0.178936	0.130752	0.00770003	0.0069151	0.00128024	2.95954	0.187917	3.78527	0.237997	0.433106	0.026787	0.00716729	0.00132216	4.22554	0.266106	3.48398	0.216662	0.247953	0.0146609	0.00365902	0.00128024	3.73559	0.232604	4.87349	0.301568	0.247953	0.0146609	0.00365902	0.000641295	5.1251	0.316871	337	2
7.7	ka-	1	0.49368	0.694272	0.016178	0.0864572	0.00666676	5.94705	1.38522	12431.5	7286.29	2.30468	0.147382	0.110354	0.00568933	0.00516697	0.000711717	2.42021	0.153783	3.09867	0.196356	0.365979	0.0197652	0.00535668	0.00073549	3.47001	0.216857	2.85513	0.178877	0.209291	0.0108312	0.00274364	0.000711717	3.06716	0.19042	4.00262	0.249398	0.209291	0.0108312	0.00274364	0.000360173	4.21465	0.260589	290	6
7.7	ka-	2	0.49368	0.711992	0.0172656	0.0793636	0.00728518	5.48888	1.0613	17914.4	13366.9	1.65392	0.103762	0.0860039	0.00539016	0.00343554	0.000490324	1.74336	0.109643	2.23203	0.138962	0.286365	0.0189445	0.00356272	0.00050697	2.52196	0.158414	2.05613	0.126723	0.163162	0.0102713	0.00183213	0.000490324	2.22113	0.137484	2.89537	0.177694	0.163162	0.0102713	0.00183213	0.000250231	3.06036	0.188215	226	8
