CollEn,particle,centrality,mass,beta,betaErr,temp,tempErr,n-v_prof,nErr,norm,normErr,dETdEta_data,dETdEta_d_err,dETdEtaLeft,dETdEtaLErr,dETdEtaRight,dETdEtaRErr,dETdEtaTotal,dETdEtaTErr,dETdy_d,dETdy_d_err,dETdyLeft,dETdyLErr,dETdyRight,dETdyRErr,dETdyTotal,dETdyTErr,dNdEta_d,dNdEta_d_err,dNdEtaLeft,dNdEtaLErr,dNdEtaRight,dNdEtaRErr,dNdEtaTotal,dNdEtaTErr,dNdy_d,dNdy_d_err,dNdyLeft,dNdyLErr,dNdyRight,dNdyRErr,dNdyTotal,dNdyTErr,Npart,NpartErr
7.7,pi-,0,0.13957,0.76945,0.0289299,0.077771,0.00709861,4.05539,0.618016,22243.6,9061.18,7.11245,0.467489,3.35204,0.327293,0.00842914,0.000763259,10.4729,0.795545,7.52458,0.494595,4.81748,0.50052,0.00844766,0.000764856,12.3505,0.99588,15.5649,1.02132,15.5975,1.59639,0.00397995,0.000763259,31.1663,2.61847,16.6508,1.09292,15.5975,1.59639,0.00397995,0.000351085,32.2523,2.68966,337,2
7.7,pi-,1,0.13957,0.785691,0.0379844,0.0716691,0.00849676,3.56999,0.476283,25940,14022.6,5.75583,0.378229,2.9181,0.340023,0.00564047,0.000474583,8.67957,0.718726,6.09249,0.400374,4.21813,0.527806,0.00565295,0.00047559,10.3163,0.928655,12.6579,0.830539,13.6366,1.67591,0.00267331,0.000474583,26.2972,2.50692,13.5476,0.889215,13.6366,1.67591,0.00267331,0.000219956,27.1869,2.56534,290,6
7.7,pi-,2,0.13957,0.763587,0.0244642,0.079974,0.00630409,4.4968,0.694638,12438.6,4393.23,4.42008,0.290209,2.07122,0.188419,0.00535617,0.000489108,6.49665,0.479118,4.67757,0.307139,2.97219,0.28652,0.00536791,0.000490126,7.65513,0.594149,9.70207,0.636209,9.62693,0.915334,0.00252578,0.000489108,19.3315,1.55203,10.3815,0.680999,9.62693,0.915334,0.00252578,0.000224405,20.011,1.59656,226,8
7.7,pi-,3,0.13957,0.758273,0.0264545,0.0787088,0.00648556,4.35859,0.679468,9208.07,3411.24,3.00874,0.197737,1.4537,0.13563,0.00304386,0.000281595,4.46548,0.333649,3.18573,0.209381,2.08882,0.206835,0.00305057,0.000282187,5.2776,0.416498,6.64206,0.43592,6.76353,0.660217,0.00143938,0.000281595,13.407,1.09642,7.11009,0.466789,6.76353,0.660217,0.00143938,0.000129774,13.8751,1.12714,160,10
7.7,pi-,4,0.13957,0.751893,0.0324125,0.0764085,0.00723316,3.9281,0.618634,6984.43,2970.63,1.99135,0.130794,0.993924,0.0993094,0.00155776,0.000143706,2.98683,0.230247,2.10952,0.138568,1.43099,0.152344,0.00156122,0.000144012,3.54208,0.291056,4.41911,0.289956,4.63117,0.485433,0.000739711,0.000143706,9.05101,0.775533,4.73219,0.310608,4.63117,0.485433,0.000739711,6.6681E-05,9.3641,0.796108,110,11
7.7,pi-,5,0.13957,0.747829,0.0347165,0.0744585,0.00780778,3.97562,0.741569,5140.32,2436.48,1.2571,0.082797,0.670633,0.0714397,0.00190308,0.000191779,1.92964,0.154428,1.33333,0.087821,0.96814,0.110282,0.00190829,0.000192276,2.30337,0.198296,2.82438,0.185793,3.13121,0.350757,0.00100201,0.000191779,5.9566,0.536742,3.02737,0.199201,3.13121,0.350757,0.00100201,9.80993E-05,6.15959,0.550056,72,10
7.7,pi-,6,0.13957,0.724869,0.0375004,0.0753834,0.0087954,4.11135,1.06187,3078.9,1611.22,0.768231,0.0505895,0.421792,0.04824,0.00140003,0.00017223,1.19142,0.0990018,0.815834,0.0537292,0.608748,0.0745503,0.00140434,0.000172727,1.42599,0.128452,1.74739,0.114985,1.96906,0.237045,0.000781199,0.00017223,3.71723,0.352202,1.87486,0.123411,1.96906,0.237045,0.000781199,9.29342E-05,3.8447,0.36055,45,9
7.7,pi-,7,0.13957,0.66906,0.0456849,0.0791742,0.0107344,3.74679,1.54496,1348.68,789.375,0.417839,0.0276501,0.219432,0.026043,0.000525077,8.3466E-05,0.637795,0.0537765,0.443781,0.0293647,0.315421,0.0401248,0.00052671,8.371E-05,0.759729,0.0695733,0.952909,0.0628998,1.02128,0.127704,0.000294762,8.3466E-05,1.97448,0.190687,1.02227,0.0674926,1.02128,0.127704,0.000294762,4.53422E-05,2.04384,0.195242,26,7
7.7,pi-,8,0.13957,0.668774,0.0443129,0.0879565,0.00694178,8.08992,5.70381,445.778,153,0.206294,0.0138934,0.10453,0.00937518,0.000746111,0.000184217,0.31157,0.0234528,0.219293,0.0147601,0.149356,0.0141626,0.000749011,0.000184855,0.369398,0.0291076,0.474856,0.031729,0.484345,0.0453375,0.000467119,0.000184217,0.959668,0.0772507,0.509695,0.0340528,0.484345,0.0453375,0.000467119,0.000108563,0.994507,0.0794988,14,4
7.7,pi+,0,0.13957,0.761639,0.0316787,0.0803364,0.00781478,3.73191,0.633913,17539.5,7389.38,6.77295,0.444925,2.93339,0.282672,0.00920376,0.000852429,9.71554,0.72845,7.15589,0.470095,4.20116,0.430675,0.00922394,0.000854204,11.3663,0.901624,14.627,0.959035,13.6127,1.37511,0.00433991,0.000852429,28.2441,2.335,15.6291,1.02508,13.6127,1.37511,0.00433991,0.000391042,29.2462,2.40058,337,2
