E	part	mass	beta	beta_err	temp	temp_err	n(v-prof.)	n_err	norm	norm_err	dETdEta_d	dETdEta_d_err	dETdEta_left	dETdEta_leftErr	dETdEta_right	dETdEta_rightErr
0	pi-	0.13957	0.76945	0.0289299	0.077771	0.00709861	4.05539	0.618016	22243.6	9061.18	7.11245	0.467489	3.35204	ETlErr	0.00842914	ETrErr
0	pi-	0.13957	0.785691	0.0379844	0.0716691	0.00849676	3.56999	0.476283	25940	14022.6	5.75582	0.378229	2.9181	ETlErr	0.00564047	ETrErr
0	pi-	0.13957	0.763587	0.0244642	0.079974	0.00630409	4.4968	0.694638	12438.6	4393.23	4.42008	0.290209	2.07122	ETlErr	0.00535617	ETrErr
0	pi-	0.13957	0.758273	0.0264545	0.0787088	0.00648556	4.35859	0.679468	9208.07	3411.24	3.00874	0.197737	1.4537	ETlErr	0.00304386	ETrErr
0	pi-	0.13957	0.751893	0.0324125	0.0764085	0.00723316	3.9281	0.618634	6984.43	2970.63	1.99135	0.130794	0.993924	ETlErr	0.00155776	ETrErr
0	pi-	0.13957	0.747829	0.0347165	0.0744585	0.00780778	3.97562	0.741569	5140.32	2436.48	1.2571	0.082797	0.670633	ETlErr	0.00190308	ETrErr
0	pi-	0.13957	0.724869	0.0375004	0.0753834	0.0087954	4.11135	1.06187	3078.9	1611.22	0.768231	0.0505895	0.421792	ETlErr	0.00140003	ETrErr
0	pi-	0.13957	0.66906	0.0456849	0.0791742	0.0107344	3.74679	1.54496	1348.68	789.375	0.417838	0.0276501	0.219432	ETlErr	0.000525077	ETrErr
0	pi-	0.13957	0.668774	0.0443129	0.0879565	0.00694178	8.08992	5.70381	445.778	153	0.206294	0.0138934	0.10453	ETlErr	0.000746111	ETrErr
0	pi+	0.13957	0.761639	0.0316787	0.0803364	0.00781478	3.73191	0.633913	17539.5	7389.38	6.77295	0.444925	2.93339	ETlErr	0.00920376	ETrErr
0	pi+	0.13957	0.764382	0.0259898	0.0813417	0.00689255	4.26581	0.713715	13807.8	5142.06	5.47242	0.359733	2.42262	ETlErr	0.00778213	ETrErr
0	pi+	0.13957	0.757058	0.0231703	0.0835925	0.00638986	4.5629	0.784985	9426.26	3161.47	4.17871	0.274341	1.8156	ETlErr	0.00603518	ETrErr
0	pi+	0.13957	0.751122	0.0259371	0.0817709	0.00664036	4.32418	0.740659	7154.6	2558.37	2.84363	0.18675	1.28162	ETlErr	0.00333197	ETrErr
0	pi+	0.13957	0.753479	0.0284844	0.078757	0.00681807	4.16122	0.674566	5670.36	2189.76	1.87261	0.123064	0.89568	ETlErr	0.00180433	ETrErr
0	pi+	0.13957	0.734705	0.0233173	0.0814306	0.00630213	4.93753	1.01344	3238.98	1122.4	1.18249	0.0777974	0.578172	ETlErr	0.00145843	ETrErr
0	pi+	0.13957	0.735996	0.0325534	0.0753506	0.00727371	4.23318	0.80355	2866.25	1259.92	0.719601	0.0474977	0.391756	ETlErr	0.000586418	ETrErr
0	pi+	0.13957	0.685968	0.0243822	0.0823512	0.00663975	4.85543	1.47076	1063	377.123	0.389585	0.0258504	0.19832	ETlErr	0.000409965	ETrErr
0	pi+	0.13957	0.630274	0.0313452	0.0845643	0.0101561	4.93951	3.83541	481.833	244.946	0.191113	0.0128913	0.0987833	ETlErr	0.000545093	ETrErr
0	ka-	0.49368	0.696235	0.0175271	0.0891426	0.00859752	6.37627	2.15233	11936.7	8541.19	0.77564	0.0479961	0.130752	ETlErr	0.0069151	ETrErr
0	ka-	0.49368	0.694272	0.016178	0.0864572	0.00666676	5.94705	1.38522	12431.5	7286.29	0.637036	0.0396929	0.110354	ETlErr	0.00516697	ETrErr
0	ka-	0.49368	0.711992	0.0172656	0.0793636	0.00728518	5.48888	1.0613	17914.4	13366.9	0.460812	0.0282809	0.0860039	ETlErr	0.00343554	ETrErr
0	ka-	0.49368	0.704703	0.0212827	0.0724453	0.00705202	5.06337	0.772228	27110.5	23060.4	0.310613	0.019298	0.0647775	ETlErr	0.00149193	ETrErr
0	ka-	0.49368	0.669542	0.018497	0.0812073	0.00777868	6.13221	1.80203	6771.08	5174.11	0.198513	0.0125532	0.039551	ETlErr	0.000892737	ETrErr
0	ka-	0.49368	0.723145	0.0386226	0.0855203	0.00549753	13.5558	5.89776	2891.16	1449.34	0.118554	0.00771285	0.0256415	ETlErr	0.00100032	ETrErr
0	ka-	0.49368	0.658771	0.039813	0.0818001	0.00694781	10.6182	5.99883	2329.84	1579.66	0.0652648	0.00454424	0.0151412	ETlErr	0.000276653	ETrErr
0	ka-	0.49368	0.819585	0.105429	0.0838457	0.00481463	33.3095	24.0255	883.292	406.216	0.0283301	0.00218744	0.00709209	ETlErr	0.00058947	ETrErr
0	ka-	0.49368	0.970499	0.0747595	0.085185	0.00310003	88.605	41.9859	334.636	97.5366	0.011758	0.00113077	0.00304985	ETlErr	0.000842141	ETrErr
0	ka+	0.49368	0.746462	0.0201618	0.0777732	0.00665323	4.37141	0.426034	87738	61873.1	2.12732	0.132107	0.343489	ETlErr	0.00787268	ETrErr
0	ka+	0.49368	0.721805	0.021396	0.0816193	0.00737729	4.48549	0.59584	50547.7	36241.8	1.7803	0.109143	0.285539	ETlErr	0.00850864	ETrErr
0	ka+	0.49368	0.74252	0.0189968	0.0752614	0.00618067	4.51548	0.431034	71469.7	49829.6	1.26911	0.0771789	0.220612	ETlErr	0.00560019	ETrErr
0	ka+	0.49368	0.728075	0.0165179	0.0785108	0.00567332	5.26124	0.607525	35726	21274	0.865298	0.0527162	0.15641	ETlErr	0.00338222	ETrErr
0	ka+	0.49368	0.711695	0.0182514	0.0787458	0.00662036	5.21199	0.794678	21717.4	14945.9	0.529893	0.0324139	0.097737	ETlErr	0.00256411	ETrErr
0	ka+	0.49368	0.725983	0.0133754	0.078884	0.00579097	6.83703	1.27254	13260.9	8009.07	0.310301	0.0193068	0.062496	ETlErr	0.00231259	ETrErr
